S.N.,Broker No.,Broker Name,Buy Amount (Rs.),Sell Amount (Rs.),Total Amount (Rs.),Matching Amount (Rs.),Date
42,1,Kumari Securities Pvt. Limited,"24,378,446.50","15,835,728.30","40,214,174.80","346,740.00",10/2/2016
46,10,Pragyan Securities Pvt. Limited,"18,661,598.20","9,508,667.24","28,170,265.44",0,10/2/2016
49,11,Malla & Malla Stock Broking Company Pvt. Limited,"18,480,619.10","7,885,587.80","26,366,206.90","115,834.00",10/2/2016
29,13,Thrive Brokerage House Pvt. Limited,"38,356,729.26","29,688,096.50","68,044,825.76","2,601,788.00",10/2/2016
16,14,Nepal Stock House Pvt. Limited,"46,131,412.70","54,676,781.70","100,808,194.40","1,333,380.80",10/2/2016
32,16,Primo Securities Pvt. Limited,"41,734,312.66","22,612,068.80","64,346,381.46","484,791.40",10/2/2016
9,17,ABC Securities Pvt. Limited,"74,547,896.50","54,596,320.50","129,144,217.00","2,675,826.00",10/2/2016
48,18,Sagarmatha Securities Pvt. Limited,"15,311,345.00","11,405,530.90","26,716,875.90","48,361.60",10/2/2016
26,19,Nepal Investment & Securities Trading Pvt. Limited,"40,821,835.70","33,850,405.70","74,672,241.40","1,015,270.00",10/2/2016
50,20,Sipla Securities Pvt. Limited,"8,994,029.70","6,167,148.50","15,161,178.20","86,600.00",10/2/2016
30,21,Midas Stock Broking Company Pvt. Limited,"32,659,024.12","33,283,532.28","65,942,556.40","1,253,167.24",10/2/2016
36,22,Siprabi Securities Pvt. Limited,"33,150,905.50","22,516,537.30","55,667,442.80","383,202.00",10/2/2016
23,25,Sweta Securities Pvt. Limited,"40,321,289.13","42,018,607.95","82,339,897.08","2,259,613.60",10/2/2016
31,26,Asian Securities Pvt. Limited,"28,425,462.50","36,443,939.40","64,869,401.90","1,188,272.00",10/2/2016
11,28,Shree Krishna Securities Limited,"76,882,828.30","49,127,472.90","126,010,301.20","5,531,596.40",10/2/2016
14,29,Trishul Securities And Investment Limited,"39,350,358.30","66,182,083.45","105,532,441.75","404,307.20",10/2/2016
47,3,Arun Securities Pvt. Limited,"13,354,611.30","13,888,971.50","27,243,582.80","456,130.40",10/2/2016
20,32,Premier Securites Company Limited,"46,664,816.00","39,179,161.10","85,843,977.10","1,407,802.40",10/2/2016
7,33,Dakshinkali Investment Securities Pvt.Limited,"50,015,452.00","86,149,571.30","136,165,023.30","10,480,989.00",10/2/2016
5,34,Vision Securities Pvt.Limited,"106,797,811.40","92,885,180.50","199,682,991.90","8,223,247.40",10/2/2016
12,35,Kohinoor Investment and Securities Pvt.Ltd,"68,956,040.30","54,371,664.30","123,327,704.60","3,328,248.80",10/2/2016
21,36,Secured Securities Limited,"36,356,587.90","48,215,133.20","84,571,721.10","3,526,365.20",10/2/2016
37,37,Swarnalaxmi Securities Pvt.Limited,"17,169,701.60","32,360,241.00","49,529,942.60","533,394.00",10/2/2016
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"60,231,423.20","71,267,697.00","131,499,120.20","3,880,620.00",10/2/2016
19,39,Sumeru Securities Pvt.Limited,"47,742,492.05","41,968,978.70","89,711,470.75","1,042,524.00",10/2/2016
28,4,Stock Broker Opal Securities Investment Pvt. Limited,"30,023,249.80","38,977,013.30","69,000,263.10","409,366.00",10/2/2016
43,40,Creative Securities Pvt.Limited,"30,000,007.30","10,174,774.20","40,174,781.50","352,193.60",10/2/2016
15,41,Linch Stock Market Limited,"53,264,453.75","50,186,368.20","103,450,821.95","2,873,243.20",10/2/2016
4,42,Sani Securities Company Limited,"174,085,053.91","67,632,630.20","241,717,684.11","6,520,590.40",10/2/2016
41,43,South Asian Bulls Pvt.Limited,"21,649,866.50","21,073,262.70","42,723,129.20","389,659.00",10/2/2016
6,44,Dynamic Money Managers Securities Pvt.Ltd,"79,944,836.76","63,656,550.17","143,601,386.93","9,432,460.20",10/2/2016
2,45,Imperial Securities Co .Pvt.Limited,"120,127,140.80","206,641,166.96","326,768,307.76","7,566,546.40",10/2/2016
38,46,Kalika Securities Pvt.Limited,"20,468,766.30","29,036,725.13","49,505,491.43","599,320.00",10/2/2016
34,47,Neev Securities Pvt.Ltd,"40,440,382.50","18,072,762.60","58,513,145.10","40,844.00",10/2/2016
33,48,Trishakti Securities Public Limited,"30,286,122.75","31,550,586.17","61,836,708.92","590,411.60",10/2/2016
3,49,Online Securities Limited,"104,114,748.12","138,359,049.60","242,473,797.72","16,977,152.60",10/2/2016
45,5,Market Securities Exchange Company Pvt. Limited,"21,741,222.50","13,354,021.50","35,095,244.00","71,680.00",10/2/2016
10,50,Crystal Kanchenjunga Securities Pvt.Ltd,"52,573,942.20","75,423,900.70","127,997,842.90","4,718,598.00",10/2/2016
35,51,Oxford Securities Pvt.Ltd,"30,353,664.90","25,394,491.39","55,748,156.29","459,662.00",10/2/2016
24,52,Sundhara Securities Limited,"34,869,936.70","46,756,346.30","81,626,283.00","1,362,207.40",10/2/2016
40,53,Investment Management Nepal Pvt. Ltd.,"20,048,494.00","24,799,237.70","44,847,731.70","658,816.00",10/2/2016
44,54,Sewa Securities Pvt. Ltd.,"14,466,894.80","22,923,935.10","37,390,829.90","347,986.00",10/2/2016
18,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"64,050,462.90","30,913,806.80","94,964,269.70","1,898,460.00",10/2/2016
27,56,Sri Hari Securities Pvt.Ltd,"26,773,038.60","47,571,260.90","74,344,299.50","1,212,864.80",10/2/2016
13,57,Arya Tara Investment And Securities Pvt. Ltd.,"66,051,516.40","49,213,504.10","115,265,020.50","2,444,432.80",10/2/2016
1,58,Naasa Securities Co. Ltd.,"116,629,852.40","210,903,266.00","327,533,118.40","31,502,463.80",10/2/2016
25,59,Deevyaa Securities & Stock House Pvt. Ltd,"45,488,779.30","30,286,170.50","75,774,949.80","2,674,543.60",10/2/2016
17,6,Agrawal Securities Pvt. Limited,"47,555,150.40","48,432,083.47","95,987,233.87","1,147,935.00",10/2/2016
22,7,J.F. Securities Company Pvt. Limited,"44,918,066.90","37,674,960.30","82,593,027.20","72,009.40",10/2/2016
39,8,Ashutosh Brokerage & Securities Pvt. Limited,"19,737,909.20","26,003,610.90","45,741,520.10","403,564.00",10/2/2016
51,D01,Nagarik Stock Dealer Company Ltd.,"6,617,256.00","681,251.90","7,298,507.90",0,10/2/2016
41,1,Kumari Securities Pvt. Limited,"10,356,261.00","9,200,282.00","19,556,543.00","86,514.00",10/3/2016
27,10,Pragyan Securities Pvt. Limited,"4,368,062.00","23,698,360.00","28,066,422.00","1,690,758.00",10/3/2016
34,11,Malla & Malla Stock Broking Company Pvt. Limited,"13,756,124.00","10,492,638.00","24,248,762.00","2,578,500.00",10/3/2016
44,13,Thrive Brokerage House Pvt. Limited,"9,273,139.00","6,858,877.00","16,132,016.00","57,040.00",10/3/2016
4,14,Nepal Stock House Pvt. Limited,"46,099,498.00","23,178,991.00","69,278,489.00","7,180,932.00",10/3/2016
22,16,Primo Securities Pvt. Limited,"17,716,439.00","16,582,192.00","34,298,631.00","11,523,790.00",10/3/2016
7,17,ABC Securities Pvt. Limited,"31,523,402.00","28,830,379.30","60,353,781.30","10,285,830.00",10/3/2016
48,18,Sagarmatha Securities Pvt. Limited,"4,397,028.00","6,295,780.00","10,692,808.00","1,761,456.00",10/3/2016
39,19,Nepal Investment & Securities Trading Pvt. Limited,"11,862,561.00","8,335,569.00","20,198,130.00","124,300.00",10/3/2016
45,20,Sipla Securities Pvt. Limited,"9,309,981.00","6,788,540.00","16,098,521.00","575,558.00",10/3/2016
38,21,Midas Stock Broking Company Pvt. Limited,"12,275,429.00","8,647,949.00","20,923,378.00","1,239,836.00",10/3/2016
30,22,Siprabi Securities Pvt. Limited,"19,488,445.00","6,482,703.00","25,971,148.00","251,600.00",10/3/2016
8,25,Sweta Securities Pvt. Limited,"15,419,737.00","37,358,581.00","52,778,318.00","1,756,904.00",10/3/2016
15,26,Asian Securities Pvt. Limited,"16,423,299.00","24,924,919.00","41,348,218.00","12,117,804.00",10/3/2016
10,28,Shree Krishna Securities Limited,"20,563,379.00","30,589,462.00","51,152,841.00","2,473,240.00",10/3/2016
29,29,Trishul Securities And Investment Limited,"10,187,164.00","16,008,536.00","26,195,700.00",0,10/3/2016
49,3,Arun Securities Pvt. Limited,"850,870.00","200,038.00","1,050,908.00","7,840.00",10/3/2016
12,32,Premier Securites Company Limited,"16,469,349.00","29,227,383.00","45,696,732.00","1,925,494.00",10/3/2016
5,33,Dakshinkali Investment Securities Pvt.Limited,"35,703,350.00","25,164,973.00","60,868,323.00","2,524,892.00",10/3/2016
3,34,Vision Securities Pvt.Limited,"26,830,137.00","61,623,462.00","88,453,599.00","8,972,846.00",10/3/2016
20,35,Kohinoor Investment and Securities Pvt.Ltd,"18,309,282.00","17,266,966.00","35,576,248.00","8,032,182.00",10/3/2016
21,36,Secured Securities Limited,"21,346,964.00","13,410,036.00","34,757,000.00","3,028,032.00",10/3/2016
32,37,Swarnalaxmi Securities Pvt.Limited,"17,917,954.00","7,406,018.00","25,323,972.00","435,870.00",10/3/2016
23,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"15,584,652.00","16,502,978.00","32,087,630.00","2,177,598.00",10/3/2016
35,39,Sumeru Securities Pvt.Limited,"8,642,212.00","13,694,485.00","22,336,697.00","3,543,636.00",10/3/2016
47,4,Stock Broker Opal Securities Investment Pvt. Limited,"6,549,429.00","4,194,332.00","10,743,761.00","2,459,360.00",10/3/2016
19,40,Creative Securities Pvt.Limited,"10,089,757.00","26,320,316.09","36,410,073.09","9,818,292.00",10/3/2016
26,41,Linch Stock Market Limited,"18,837,589.00","10,480,743.00","29,318,332.00","693,680.00",10/3/2016
16,42,Sani Securities Company Limited,"17,728,972.00","22,591,604.00","40,320,576.00","1,398,358.00",10/3/2016
36,43,South Asian Bulls Pvt.Limited,"15,396,618.00","6,706,950.00","22,103,568.00","3,243,284.00",10/3/2016
9,44,Dynamic Money Managers Securities Pvt.Ltd,"34,863,669.00","16,642,549.00","51,506,218.00","2,870,220.00",10/3/2016
6,45,Imperial Securities Co .Pvt.Limited,"37,176,653.00","23,548,811.00","60,725,464.00","4,177,144.00",10/3/2016
40,46,Kalika Securities Pvt.Limited,"11,998,759.00","7,606,174.00","19,604,933.00",0,10/3/2016
28,47,Neev Securities Pvt.Ltd,"18,552,010.00","8,187,346.00","26,739,356.00","3,479,280.00",10/3/2016
24,48,Trishakti Securities Public Limited,"16,351,433.00","13,926,006.00","30,277,439.00","6,973,824.00",10/3/2016
2,49,Online Securities Limited,"48,454,022.00","46,352,569.00","94,806,591.00","46,287,394.00",10/3/2016
17,5,Market Securities Exchange Company Pvt. Limited,"13,113,361.00","26,393,780.00","39,507,141.00","4,723,280.00",10/3/2016
13,50,Crystal Kanchenjunga Securities Pvt.Ltd,"12,630,775.00","32,363,063.00","44,993,838.00","1,657,960.00",10/3/2016
33,51,Oxford Securities Pvt.Ltd,"15,704,323.00","9,496,823.00","25,201,146.00","135,800.00",10/3/2016
46,52,Sundhara Securities Limited,"4,720,143.00","10,634,107.00","15,354,250.00",0,10/3/2016
37,53,Investment Management Nepal Pvt. Ltd.,"10,239,134.00","10,704,255.00","20,943,389.00","546,000.00",10/3/2016
18,54,Sewa Securities Pvt. Ltd.,"24,307,680.00","12,800,657.00","37,108,337.00",0,10/3/2016
43,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"13,628,141.00","3,985,067.00","17,613,208.00","424,160.00",10/3/2016
50,56,Sri Hari Securities Pvt.Ltd,0,0,0,0,10/3/2016
14,57,Arya Tara Investment And Securities Pvt. Ltd.,"19,264,741.00","24,521,097.00","43,785,838.00","7,054,120.00",10/3/2016
1,58,Naasa Securities Co. Ltd.,"64,983,469.00","58,662,001.00","123,645,470.00","19,735,412.00",10/3/2016
31,59,Deevyaa Securities & Stock House Pvt. Ltd,"14,792,774.00","10,743,650.00","25,536,424.00","1,000,600.00",10/3/2016
11,6,Agrawal Securities Pvt. Limited,"13,330,274.39","32,933,580.00","46,263,854.39","4,235,212.00",10/3/2016
42,7,J.F. Securities Company Pvt. Limited,"15,119,531.00","3,331,947.00","18,451,478.00",0,10/3/2016
25,8,Ashutosh Brokerage & Securities Pvt. Limited,"14,579,648.00","15,190,099.00","29,769,747.00","19,329,526.00",10/3/2016
38,1,Kumari Securities Pvt. Limited,"11,589,777.00","6,568,843.00","18,158,620.00","166,600.00",10/4/2016
13,10,Pragyan Securities Pvt. Limited,"30,043,746.00","13,674,122.00","43,717,868.00","2,795,600.00",10/4/2016
42,11,Malla & Malla Stock Broking Company Pvt. Limited,"10,050,474.00","5,845,455.00","15,895,929.00","195,400.00",10/4/2016
37,13,Thrive Brokerage House Pvt. Limited,"5,956,944.00","12,374,132.00","18,331,076.00","1,372,440.00",10/4/2016
16,14,Nepal Stock House Pvt. Limited,"14,033,907.00","21,222,217.00","35,256,124.00","516,950.00",10/4/2016
14,16,Primo Securities Pvt. Limited,"16,152,406.00","21,165,064.00","37,317,470.00","6,983,780.00",10/4/2016
9,17,ABC Securities Pvt. Limited,"33,192,386.00","17,122,958.00","50,315,344.00","3,371,680.00",10/4/2016
45,18,Sagarmatha Securities Pvt. Limited,"1,696,373.00","11,054,062.00","12,750,435.00","2,334,900.00",10/4/2016
19,19,Nepal Investment & Securities Trading Pvt. Limited,"17,547,243.00","11,334,974.00","28,882,217.00","894,320.00",10/4/2016
44,20,Sipla Securities Pvt. Limited,"8,143,545.00","5,565,032.00","13,708,577.00",0,10/4/2016
39,21,Midas Stock Broking Company Pvt. Limited,"7,000,921.20","10,790,924.00","17,791,845.20","525,816.00",10/4/2016
31,22,Siprabi Securities Pvt. Limited,"11,491,657.00","10,124,635.20","21,616,292.20","250,800.00",10/4/2016
6,25,Sweta Securities Pvt. Limited,"20,791,410.00","33,831,606.00","54,623,016.00","3,912,640.00",10/4/2016
28,26,Asian Securities Pvt. Limited,"10,136,243.00","13,668,177.00","23,804,420.00","884,440.00",10/4/2016
7,28,Shree Krishna Securities Limited,"13,559,151.00","38,854,850.00","52,414,001.00","1,242,720.00",10/4/2016
25,29,Trishul Securities And Investment Limited,"13,005,848.00","12,135,896.00","25,141,744.00","646,100.00",10/4/2016
49,3,Arun Securities Pvt. Limited,"4,540,161.00","411,285.00","4,951,446.00",0,10/4/2016
15,32,Premier Securites Company Limited,"11,179,405.00","25,112,565.00","36,291,970.00","201,700.00",10/4/2016
12,33,Dakshinkali Investment Securities Pvt.Limited,"30,515,934.00","16,026,236.00","46,542,170.00","19,406,640.00",10/4/2016
11,34,Vision Securities Pvt.Limited,"21,473,622.00","25,685,031.00","47,158,653.00","220,800.00",10/4/2016
17,35,Kohinoor Investment and Securities Pvt.Ltd,"9,501,814.00","23,931,716.00","33,433,530.00","6,748,296.00",10/4/2016
23,36,Secured Securities Limited,"16,173,237.00","9,184,006.00","25,357,243.00","1,694,000.00",10/4/2016
29,37,Swarnalaxmi Securities Pvt.Limited,"13,306,814.00","9,167,850.00","22,474,664.00",0,10/4/2016
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"16,841,715.00","34,393,472.00","51,235,187.00","2,546,622.00",10/4/2016
34,39,Sumeru Securities Pvt.Limited,"10,910,456.00","8,585,759.20","19,496,215.20","875,812.00",10/4/2016
48,4,Stock Broker Opal Securities Investment Pvt. Limited,"1,003,654.00","5,921,645.00","6,925,299.00",0,10/4/2016
24,40,Creative Securities Pvt.Limited,"5,490,122.00","19,696,177.00","25,186,299.00","1,567,180.00",10/4/2016
21,41,Linch Stock Market Limited,"14,838,914.00","12,278,090.00","27,117,004.00","755,180.00",10/4/2016
20,42,Sani Securities Company Limited,"14,299,351.00","12,953,153.00","27,252,504.00","675,400.00",10/4/2016
40,43,South Asian Bulls Pvt.Limited,"12,455,383.00","4,967,043.00","17,422,426.00","1,282,688.00",10/4/2016
10,44,Dynamic Money Managers Securities Pvt.Ltd,"30,174,337.00","17,252,862.00","47,427,199.00","14,819,428.00",10/4/2016
2,45,Imperial Securities Co .Pvt.Limited,"52,031,862.00","50,299,150.00","102,331,012.00","38,559,546.00",10/4/2016
26,46,Kalika Securities Pvt.Limited,"14,014,962.00","10,751,837.00","24,766,799.00","218,540.00",10/4/2016
30,47,Neev Securities Pvt.Ltd,"16,056,607.00","5,985,939.00","22,042,546.00","72,702.00",10/4/2016
18,48,Trishakti Securities Public Limited,"19,554,510.00","12,917,897.00","32,472,407.00","1,852,878.00",10/4/2016
4,49,Online Securities Limited,"41,041,200.00","29,623,262.00","70,664,462.00","31,761,480.00",10/4/2016
27,5,Market Securities Exchange Company Pvt. Limited,"18,791,357.00","5,507,844.00","24,299,201.00","270,744.00",10/4/2016
22,50,Crystal Kanchenjunga Securities Pvt.Ltd,"16,659,196.00","9,360,105.00","26,019,301.00","471,400.00",10/4/2016
43,51,Oxford Securities Pvt.Ltd,"10,755,482.00","3,049,326.00","13,804,808.00","1,197,504.00",10/4/2016
41,52,Sundhara Securities Limited,"2,458,543.00","14,120,054.00","16,578,597.00",0,10/4/2016
36,53,Investment Management Nepal Pvt. Ltd.,"9,357,634.00","8,996,965.00","18,354,599.00","435,660.00",10/4/2016
33,54,Sewa Securities Pvt. Ltd.,"9,582,514.00","10,595,939.00","20,178,453.00","9,414,700.00",10/4/2016
47,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"8,070,642.00","3,209,386.00","11,280,028.00",0,10/4/2016
50,56,Sri Hari Securities Pvt.Ltd,0,0,0,0,10/4/2016
5,57,Arya Tara Investment And Securities Pvt. Ltd.,"21,570,858.00","33,356,382.00","54,927,240.00","4,408,062.00",10/4/2016
1,58,Naasa Securities Co. Ltd.,"65,742,078.20","43,464,202.00","109,206,280.20","10,392,520.00",10/4/2016
32,59,Deevyaa Securities & Stock House Pvt. Ltd,"10,026,857.00","11,165,741.00","21,192,598.00","2,127,502.00",10/4/2016
3,6,Agrawal Securities Pvt. Limited,"19,208,983.00","54,169,023.00","73,378,006.00","8,476,614.00",10/4/2016
35,7,J.F. Securities Company Pvt. Limited,"12,688,760.00","6,686,171.00","19,374,931.00","919,868.00",10/4/2016
46,8,Ashutosh Brokerage & Securities Pvt. Limited,"5,634,180.00","6,184,115.00","11,818,295.00","7,820.00",10/4/2016
11,1,Kumari Securities Pvt. Limited,"20,423,966.00","43,803,721.00","64,227,687.00","444,080.00",10/5/2016
9,10,Pragyan Securities Pvt. Limited,"11,904,888.00","53,392,464.00","65,297,352.00","5,568,140.00",10/5/2016
39,11,Malla & Malla Stock Broking Company Pvt. Limited,"11,711,951.00","12,921,433.00","24,633,384.00","11,420.00",10/5/2016
35,13,Thrive Brokerage House Pvt. Limited,"16,103,680.00","13,970,042.00","30,073,722.00","1,484,480.00",10/5/2016
23,14,Nepal Stock House Pvt. Limited,"25,363,800.00","18,400,090.00","43,763,890.00","8,871,600.00",10/5/2016
25,16,Primo Securities Pvt. Limited,"20,739,426.00","22,284,007.00","43,023,433.00","5,279,792.00",10/5/2016
3,17,ABC Securities Pvt. Limited,"54,082,748.00","45,330,544.00","99,413,292.00","4,677,680.00",10/5/2016
45,18,Sagarmatha Securities Pvt. Limited,"5,240,780.00","8,344,626.00","13,585,406.00",0,10/5/2016
30,19,Nepal Investment & Securities Trading Pvt. Limited,"23,036,337.00","9,728,221.00","32,764,558.00",0,10/5/2016
37,20,Sipla Securities Pvt. Limited,"12,274,078.00","13,930,825.00","26,204,903.00",0,10/5/2016
36,21,Midas Stock Broking Company Pvt. Limited,"13,405,581.00","14,988,371.00","28,393,952.00","360,020.00",10/5/2016
29,22,Siprabi Securities Pvt. Limited,"25,199,849.00","7,915,059.00","33,114,908.00","3,534,040.00",10/5/2016
8,25,Sweta Securities Pvt. Limited,"48,936,721.00","20,643,088.00","69,579,809.00","2,213,016.00",10/5/2016
21,26,Asian Securities Pvt. Limited,"32,544,154.00","12,438,591.00","44,982,745.00","10,607,072.00",10/5/2016
14,28,Shree Krishna Securities Limited,"21,441,141.00","38,662,023.00","60,103,164.00","211,160.00",10/5/2016
40,29,Trishul Securities And Investment Limited,"10,669,671.00","11,181,781.00","21,851,452.00",0,10/5/2016
48,3,Arun Securities Pvt. Limited,"3,794,987.00","2,219,350.00","6,014,337.00",0,10/5/2016
20,32,Premier Securites Company Limited,"21,336,010.00","25,588,580.00","46,924,590.00","409,880.00",10/5/2016
7,33,Dakshinkali Investment Securities Pvt.Limited,"45,414,760.00","40,351,223.00","85,765,983.00","23,382,796.00",10/5/2016
10,34,Vision Securities Pvt.Limited,"39,480,820.00","25,438,685.00","64,919,505.00","9,484,790.00",10/5/2016
16,35,Kohinoor Investment and Securities Pvt.Ltd,"33,521,773.00","21,773,700.00","55,295,473.00","17,631,780.00",10/5/2016
19,36,Secured Securities Limited,"28,304,692.00","20,536,911.00","48,841,603.00","1,856,420.00",10/5/2016
28,37,Swarnalaxmi Securities Pvt.Limited,"17,937,887.00","15,253,698.00","33,191,585.00","846,000.00",10/5/2016
17,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"18,976,688.00","34,135,361.00","53,112,049.00","2,023,820.00",10/5/2016
46,39,Sumeru Securities Pvt.Limited,"10,996,210.00","2,555,311.00","13,551,521.00","17,922.00",10/5/2016
49,4,Stock Broker Opal Securities Investment Pvt. Limited,"1,890,758.00","1,003,646.00","2,894,404.00",0,10/5/2016
38,40,Creative Securities Pvt.Limited,"18,488,856.00","6,239,242.00","24,728,098.00","339,544.00",10/5/2016
31,41,Linch Stock Market Limited,"15,422,609.00","17,148,865.00","32,571,474.00","675,806.00",10/5/2016
5,42,Sani Securities Company Limited,"41,133,042.00","47,075,739.00","88,208,781.00","8,067,064.00",10/5/2016
32,43,South Asian Bulls Pvt.Limited,"12,541,165.00","20,003,872.00","32,545,037.00","1,164,790.00",10/5/2016
6,44,Dynamic Money Managers Securities Pvt.Ltd,"37,117,688.00","48,790,491.00","85,908,179.00","24,824,512.00",10/5/2016
12,45,Imperial Securities Co .Pvt.Limited,"30,826,190.00","31,768,331.00","62,594,521.00","4,764,658.00",10/5/2016
47,46,Kalika Securities Pvt.Limited,"7,348,602.00","6,175,914.00","13,524,516.00","402,400.00",10/5/2016
26,47,Neev Securities Pvt.Ltd,"16,485,904.00","19,406,829.00","35,892,733.00","2,152,480.00",10/5/2016
34,48,Trishakti Securities Public Limited,"18,169,503.00","13,180,660.00","31,350,163.00","1,195,880.00",10/5/2016
2,49,Online Securities Limited,"54,375,028.00","60,819,583.00","115,194,611.00","53,745,878.00",10/5/2016
22,5,Market Securities Exchange Company Pvt. Limited,"32,260,951.00","12,454,976.00","44,715,927.00","3,265,990.00",10/5/2016
13,50,Crystal Kanchenjunga Securities Pvt.Ltd,"22,873,801.00","38,067,666.00","60,941,467.00","11,522,000.00",10/5/2016
44,51,Oxford Securities Pvt.Ltd,"8,335,709.00","6,480,699.00","14,816,408.00","601,416.00",10/5/2016
24,52,Sundhara Securities Limited,"29,853,858.00","13,631,925.00","43,485,783.00","4,910,366.00",10/5/2016
27,53,Investment Management Nepal Pvt. Ltd.,"9,003,766.00","24,684,730.00","33,688,496.00","2,100,680.00",10/5/2016
43,54,Sewa Securities Pvt. Ltd.,"5,804,725.00","11,786,124.00","17,590,849.00","474,800.00",10/5/2016
42,55,Bhrikuti Stock Broking Co. Pvt. Ltd.,"13,065,172.00","5,741,260.00","18,806,432.00",0,10/5/2016
50,56,Sri Hari Securities Pvt.Ltd,0,0,0,0,10/5/2016
18,57,Arya Tara Investment And Securities Pvt. Ltd.,"29,414,580.00","21,455,885.00","50,870,465.00","2,186,700.00",10/5/2016
1,58,Naasa Securities Co. Ltd.,"54,211,763.00","65,188,727.00","119,400,490.00","5,870,280.00",10/5/2016
15,59,Deevyaa Securities & Stock House Pvt. Ltd,"25,461,060.00","34,434,289.00","59,895,349.00","4,800,000.00",10/5/2016
4,6,Agrawal Securities Pvt. Limited,"41,897,610.00","57,374,647.00","99,272,257.00","11,978,488.00",10/5/2016
33,7,J.F. Securities Company Pvt. Limited,"17,320,207.00","14,985,864.00","32,306,071.00","2,101,600.00",10/5/2016
41,8,Ashutosh Brokerage & Securities Pvt. Limited,"8,339,824.00","10,797,300.00","19,137,124.00","2,337,426.00",10/5/2016
26,1,Kumari Securities Pvt. Limited,"16,051,659.00","16,673,048.00","32,724,707.00","1,275,804.00",10/6/2016
14,10,Pragyan Securities Pvt. Limited,"22,352,020.00","24,750,666.00","47,102,686.00","1,345,600.00",10/6/2016
28,11,Malla & Malla Stock Broking Company Pvt. Limited,"16,226,272.00","14,722,880.00","30,949,152.00","279,500.00",10/6/2016
45,13,Thrive Brokerage House Pvt. Limited,"8,928,845.00","6,636,369.00","15,565,214.00",0,10/6/2016
30,14,Nepal Stock House Pvt. Limited,"19,085,489.00","10,643,661.00","29,729,150.00","281,632.00",10/6/2016
16,16,Primo Securities Pvt. Limited,"24,355,668.00","20,198,859.00","44,554,527.00","9,651,514.00",10/6/2016
15,17,ABC Securities Pvt. Limited,"24,904,215.00","21,797,247.00","46,701,462.00","1,911,456.00",10/6/2016
43,18,Sagarmatha Securities Pvt. Limited,"1,955,346.00","15,788,838.00","17,744,184.00","30,540.00",10/6/2016
27,19,Nepal Investment & Securities Trading Pvt. Limited,"17,436,903.00","14,921,741.00","32,358,644.00","786,000.00",10/6/2016
44,20,Sipla Securities Pvt. Limited,"4,576,093.00","11,647,002.00","16,223,095.00",0,10/6/2016
39,21,Midas Stock Broking Company Pvt. Limited,"8,693,590.50","11,653,563.00","20,347,153.50","841,660.00",10/6/2016
24,22,Siprabi Securities Pvt. Limited,"19,377,770.00","17,204,377.00","36,582,147.00","1,045,040.00",10/6/2016
17,25,Sweta Securities Pvt. Limited,"15,428,897.00","28,623,864.00","44,052,761.00","177,000.00",10/6/2016
21,26,Asian Securities Pvt. Limited,"22,162,464.00","16,107,228.00","38,269,692.00","1,650,440.00",10/6/2016
20,28,Shree Krishna Securities Limited,"16,174,727.00","22,841,748.00","39,016,475.00","1,359,024.00",10/6/2016
35,29,Trishul Securities And Investment Limited,"15,568,610.00","11,588,090.00","27,156,700.00","1,123,042.00",10/6/2016
48,3,Arun Securities Pvt. Limited,"1,500,743.00","1,713,978.00","3,214,721.00",0,10/6/2016
4,32,Premier Securites Company Limited,"33,327,222.00","38,232,609.00","71,559,831.00","19,761,180.00",10/6/2016
13,33,Dakshinkali Investment Securities Pvt.Limited,"28,096,324.00","19,696,133.00","47,792,457.00","2,729,408.00",10/6/2016
5,34,Vision Securities Pvt.Limited,"28,377,909.00","35,801,063.00","64,178,972.00","7,813,032.00",10/6/2016
23,35,Kohinoor Investment and Securities Pvt.Ltd,"25,926,804.00","11,570,178.00","37,496,982.00","4,386,400.00",10/6/2016
6,36,Secured Securities Limited,"39,049,979.00","24,772,579.00","63,822,558.00","1,272,470.00",10/6/2016
31,37,Swarnalaxmi Securities Pvt.Limited,"9,698,848.00","19,961,786.00","29,660,634.00","3,466,842.00",10/6/2016
22,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"16,881,288.00","20,659,150.00","37,540,438.00","2,440,400.00",10/6/2016
40,39,Sumeru Securities Pvt.Limited,"11,541,428.00","8,777,858.00","20,319,286.00","277,756.00",10/6/2016
49,4,Stock Broker Opal Securities Investment Pvt. Limited,"1,373,290.00","1,394,140.00","2,767,430.00",0,10/6/2016
47,40,Creative Securities Pvt.Limited,"6,060,698.00","6,754,572.00","12,815,270.00","538,200.00",10/6/2016
32,41,Linch Stock Market Limited,"16,438,225.00","12,689,405.00","29,127,630.00","2,183,000.00",10/6/2016
12,42,Sani Securities Company Limited,"38,846,109.00","11,111,028.00","49,957,137.00","323,940.00",10/6/2016
29,43,South Asian Bulls Pvt.Limited,"14,745,966.00","15,240,851.00","29,986,817.00","358,940.00",10/6/2016
